"Desenvolvedor","Data","Classificacao_ownership","Major","Minor","Total"
"Ethan A Merritt","2018-06-01","Major",13,0,13
"Ethan A Merritt","2018-07-01","Major",13,0,13
"Ethan A Merritt","2018-08-01","Major",13,0,13
"Ethan A Merritt","2018-09-01","Major",13,0,13
"Ethan A Merritt","2018-10-01","Major",13,0,13
"Ethan A Merritt","2018-11-01","Major",13,0,13
"Ethan A Merritt","2018-12-01","Major",13,0,13
"Bastian Maerkisch","2019-01-01","Major",13,0,13
"Ethan A Merritt","2019-01-01","Major",13,0,13
"Bastian Maerkisch","2019-02-01","Major",13,0,13
"Ethan A Merritt","2019-02-01","Major",13,0,13
"Bastian Maerkisch","2019-03-01","Major",13,0,13
"Ethan A Merritt","2019-03-01","Major",13,0,13
"Ethan A Merritt","2019-04-01","Major",13,0,13
"Bastian Maerkisch","2019-05-01","Major",13,0,13
"Ethan A Merritt","2019-05-01","Major",13,0,13
"Ethan A Merritt","2019-06-01","Major",13,0,13
"Ethan A Merritt","2019-07-01","Major",13,0,13
"Ethan A Merritt","2019-08-01","Major",13,0,13
"Ethan A Merritt","2019-09-01","Major",13,0,13
"Ethan A Merritt","2019-10-01","Major",13,0,13
"Ethan A Merritt","2019-11-01","Major",13,0,13
"Ethan A Merritt","2019-12-01","Major",13,0,13
"Bastian Maerkisch","2020-01-01","Major",13,0,13
"Ethan A Merritt","2020-01-01","Major",14,0,14
"Henri Menke","2020-01-01","Major",14,0,14
"Ethan A Merritt","2020-02-01","Major",14,0,14
"Ethan A Merritt","2020-03-01","Major",14,0,14
"Bastian Maerkisch","2020-04-01","Major",14,0,14
"Ethan A Merritt","2020-04-01","Major",14,0,14
"Ethan A Merritt","2020-05-01","Major",14,0,14
"Ethan A Merritt","2020-06-01","Major",14,0,14
"Ethan A Merritt","2020-07-01","Major",14,0,14
"Ethan A Merritt","2020-08-01","Major",14,0,14
"Ethan A Merritt","2020-09-01","Major",14,0,14
"Ethan A Merritt","2020-10-01","Major",14,0,14
"Ethan A Merritt","2020-11-01","Major",14,0,14
"Bastian Maerkisch","2020-12-01","Major",14,0,14
"Ethan A Merritt","2020-12-01","Major",14,0,14
"Ethan A Merritt","2021-01-01","Major",14,0,14
