"Data","Desenvolvedor","Classificacao","Especialista","Generalista","Misto","Total","Perc_Especialista","Perc_Generalista","Perc_Misto"
"2011-07-01","Ethan A Merritt","Misto",0,2,7,9,0,22.2222222222222,77.7777777777778
"2011-08-01","Bastian Maerkisch","Misto",0,2,7,9,0,22.2222222222222,77.7777777777778
"2011-08-01","Ethan A Merritt","Misto",0,2,7,9,0,22.2222222222222,77.7777777777778
"2011-09-01","Bastian Maerkisch","Misto",0,2,7,9,0,22.2222222222222,77.7777777777778
"2011-09-01","Ethan A Merritt","Misto",0,2,7,9,0,22.2222222222222,77.7777777777778
"2011-10-01","Ethan A Merritt","Misto",0,2,7,9,0,22.2222222222222,77.7777777777778
"2011-11-01","Bastian Maerkisch","Misto",0,2,7,9,0,22.2222222222222,77.7777777777778
"2011-11-01","Ethan A Merritt","Misto",0,2,7,9,0,22.2222222222222,77.7777777777778
"2011-12-01","Bastian Maerkisch","Misto",0,2,7,9,0,22.2222222222222,77.7777777777778
"2011-12-01","Ethan A Merritt","Misto",0,2,7,9,0,22.2222222222222,77.7777777777778
"2012-01-01","Ethan A Merritt","Misto",0,2,7,9,0,22.2222222222222,77.7777777777778
"2012-01-01","Jerome Lodewyck","Misto",0,2,7,9,0,22.2222222222222,77.7777777777778
"2012-02-01","Ethan A Merritt","Misto",0,2,7,9,0,22.2222222222222,77.7777777777778
"2012-02-01","Jerome Lodewyck","Misto",0,2,7,9,0,22.2222222222222,77.7777777777778
"2012-03-01","Ethan A Merritt","Misto",0,2,7,9,0,22.2222222222222,77.7777777777778
"2012-04-01","Ethan A Merritt","Misto",0,2,7,9,0,22.2222222222222,77.7777777777778
"2012-04-01","Jerome Lodewyck","Misto",0,2,7,9,0,22.2222222222222,77.7777777777778
"2012-05-01","Bastian Maerkisch","Misto",0,2,7,9,0,22.2222222222222,77.7777777777778
"2012-05-01","Ethan A Merritt","Misto",0,2,7,9,0,22.2222222222222,77.7777777777778
"2012-06-01","Bastian Maerkisch","Misto",0,2,7,9,0,22.2222222222222,77.7777777777778
"2012-06-01","Ethan A Merritt","Misto",0,2,7,9,0,22.2222222222222,77.7777777777778
"2012-07-01","Bastian Maerkisch","Misto",0,2,7,9,0,22.2222222222222,77.7777777777778
"2012-07-01","Ethan A Merritt","Misto",0,2,7,9,0,22.2222222222222,77.7777777777778
"2012-08-01","Ethan A Merritt","Misto",0,2,7,9,0,22.2222222222222,77.7777777777778
"2012-09-01","Ethan A Merritt","Misto",0,2,7,9,0,22.2222222222222,77.7777777777778
"2012-10-01","Bastian Maerkisch","Misto",0,2,7,9,0,22.2222222222222,77.7777777777778
"2012-10-01","Ethan A Merritt","Misto",0,2,7,9,0,22.2222222222222,77.7777777777778
"2012-11-01","Bastian Maerkisch","Misto",0,2,7,9,0,22.2222222222222,77.7777777777778
"2012-11-01","Ethan A Merritt","Misto",0,2,7,9,0,22.2222222222222,77.7777777777778
"2012-12-01","Ethan A Merritt","Misto",0,2,7,9,0,22.2222222222222,77.7777777777778
"2013-01-01","Ethan A Merritt","Misto",0,2,7,9,0,22.2222222222222,77.7777777777778
"2013-02-01","Ethan A Merritt","Misto",0,2,7,9,0,22.2222222222222,77.7777777777778
