"Variabilidades","Desenvolvedor","Valor","Total"
"HAVE_SYS_PARAM_H",1,"2015-04-01",253
"HAVE_EVP_AES_CTR",1,"2015-09-01",253
"HAVE_OPENSSL_EVP_AES_CTR",1,"2015-09-01",253
"(HAVE_LIBMBEDCRYPTO)",1,"2015-12-01",253
"defined HAVE_LIBMBEDTLS",1,"2015-12-01",253
"defined(HAVE_LIBCRYPTO)",2,"2015-12-01",253
"OPENSSH_VERSION_MAJOR",1,"2016-05-01",253
"HAVE_IO_H",1,"2016-11-01",253
"HAVE_OPENSSL_CRYPTO_CTR128_ENCRYPT",1,"2016-11-01",253
"HAVE_OPENSSL_CRYPTO_THREADID_SET_CALLBACK",1,"2016-11-01",253
"HAVE_SYS_UTIME_H",1,"2016-11-01",253
"CAN_DISABLE_AESNI",1,"2017-06-01",253
"HAVE_LIBMBEDCRYPTO",3,"2018-01-01",253
"DEBUG_PACKET",1,"2018-02-01",253
"!(HAVE_EXPLICIT_BZERO)",1,"2018-03-01",253
"(HAVE_GCC_VOLATILE_MEMORY_PROTECTION)",1,"2018-03-01",253
"defined HAVE_LIBMBEDCRYPTO",2,"2018-06-01",253
"HAS_DES",2,"2018-06-01",253
"HAVE_CHACHA",1,"2018-06-01",253
"HAVE_SYS_TIME_H",2,"2018-06-01",253
"!(HAVE_PTHREAD) && !( _WIN32 ||  _WIN64)",1,"2018-07-01",253
"(HAVE_LIBGCRYPT)",2,"2018-07-01",253
"defined MBEDTLS_THREADING_PTHREAD",1,"2018-07-01",253
"HAVE_GCC_NARG_MACRO",2,"2018-07-01",253
"HAVE_LIBCRYPTO",4,"2018-07-01",253
"HAVE_OPENSSL_RAND_PRIV_BYTES",1,"2018-07-01",253
"MBEDTLS_THREADING_ALT",1,"2018-07-01",253
"!(HAVE_STRNDUP)",1,"2018-08-01",253
"HAVE_CONSTRUCTOR_ATTRIBUTE",1,"2018-08-01",253
"HAVE_DESTRUCTOR_ATTRIBUTE",1,"2018-08-01",253
"HAVE_GLOB",2,"2018-09-01",253
"MSG_NOSIGNAL",1,"2018-09-01",253
"(_MSC_VER) && !(LIBSSH_STATIC)",1,"2018-10-01",253
"HAVE_OPENSSL_EVP_KDF_CTX_NEW_ID",1,"2018-10-01",253
"( _WIN32) || ( _WIN64)",1,"2018-11-01",253
"((HAVE_VALGRIND_VALGRIND_H) && (HAVE_OPENSSL_IA32CAP_LOC))",1,"2018-11-01",253
"HAVE_DSA",4,"2018-11-01",253
"HAVE_LIBUTIL_H",3,"2018-11-01",253
"HAVE_PTY_H",4,"2018-11-01",253
"HAVE_UTIL_H",3,"2018-11-01",253
"HAVE_UTMP_H",2,"2018-11-01",253
"S_IRWXG",1,"2018-11-01",253
"S_IRWXO",1,"2018-11-01",253
"WITH_PCAP",4,"2018-11-01",253
"WITH_SFTP",3,"2018-11-01",253
"defined(HAVE_LIBMBEDCRYPTO)",2,"2018-12-01",253
"WITH_ZLIB",2,"2018-12-01",253
"POLLRDHUP",1,"2019-01-01",253
"(HAVE_DSA) && (WITH_GEX)",1,"2019-02-01",253
"(HAVE_GLOB) && (HAVE_GLOB_GL_FLAGS_MEMBER)",2,"2019-02-01",253
